lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::ValueIteratorBase()#18,5,0,88,3,0,0.0,0.0,-1,-0.05319148936170213,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::ValueIteratorBase(const class Value::ObjectValues::iterator & current)#20,11,0,82,3,0,0.0,0.0,-1,-0.11702127659574468,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::ValueIteratorBase(const class Value::ObjectValues::iterator & current)#22,11,0,82,3,0,0.0,0.0,-1,-0.11702127659574468,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::deref()#24,5,0,88,3,0,0.0,0.0,-1,-0.05319148936170213,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::deref()#25,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::increment()#27,8,0,85,3,0,0.0,0.0,-1,-0.0851063829787234,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::decrement()#29,2,0,91,3,0,0.0,0.0,-1,-0.02127659574468085,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#32,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#38,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#39,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#47,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#48,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#49,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#50,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#51,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#52,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#53,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::isEqual(const Json::ValueIteratorBase::SelfType & other)#55,12,0,81,3,0,0.0,0.0,-1,-0.1276595744680851,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::isEqual(const Json::ValueIteratorBase::SelfType & other)#56,12,0,81,3,0,0.0,0.0,-1,-0.1276595744680851,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::isEqual(const Json::ValueIteratorBase::SelfType & other)#57,3,0,90,3,0,0.0,0.0,-1,-0.031914893617021274,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::isEqual(const Json::ValueIteratorBase::SelfType & other)#59,10,0,83,3,0,0.0,0.0,-1,-0.10638297872340426,0.0,0.0,0,0
bug3#src/lib_json/json_valueiterator.inl#ValueIteratorBase::isEqual(const Json::ValueIteratorBase::SelfType & other)#60,12,0,81,3,0,0.0,0.0,-1,-0.1276595744680851,0.0,0.0,0,0
