lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug3#include/json/reader.h#FUNCTIONNOTFOUND#37,33,3,60,0,1,3.0434782608695654,0.08333333333333333,60,2.648936170212766,0.28867513459481287,0.03125,3,0
bug3#include/json/reader.h#FUNCTIONNOTFOUND#47,8,0,85,3,0,0.0,0.0,-1,-0.0851063829787234,0.0,0.0,0,0
bug3#include/json/reader.h#FUNCTIONNOTFOUND#183,9,0,84,3,0,0.0,0.0,-1,-0.09574468085106383,0.0,0.0,0,0
bug3#include/json/reader.h#FUNCTIONNOTFOUND#245,1,3,92,0,1,3.6,0.75,92,2.9893617021276597,0.8660254037844387,0.03125,3,0
bug3#include/json/reader.h#CharReader::~CharReader()#247,1,3,92,0,1,3.6,0.75,92,2.9893617021276597,0.8660254037844387,0.03125,3,0
bug3#include/json/reader.h#FUNCTIONNOTFOUND#267,3,3,90,0,1,3.3333333333333335,0.5,90,2.9680851063829787,0.7071067811865476,0.03125,3,0
bug3#include/json/reader.h#Factory::~Factory()#269,3,3,90,0,1,3.3333333333333335,0.5,90,2.9680851063829787,0.7071067811865476,0.03125,3,0
