lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::ValueIteratorBase()#18,5,0,118,3,0,0.0,0.0,-1,-0.04032258064516129,0.0,0.0,0,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::ValueIteratorBase(const class Value::ObjectValues::iterator & current)#20,8,3,115,0,1,3.1578947368421053,0.2727272727272727,115,2.935483870967742,0.5222329678670935,0.023809523809523808,3,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::ValueIteratorBase(const class Value::ObjectValues::iterator & current)#22,8,3,115,0,1,3.1578947368421053,0.2727272727272727,115,2.935483870967742,0.5222329678670935,0.023809523809523808,3,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::deref()#24,2,3,121,0,1,3.4285714285714284,0.6,121,2.9838709677419355,0.7745966692414834,0.023809523809523808,3,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::deref()#25,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::increment()#27,5,3,118,0,1,3.230769230769231,0.375,118,2.9596774193548385,0.6123724356957946,0.023809523809523808,3,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::decrement()#29,2,0,121,3,0,0.0,0.0,-1,-0.016129032258064516,0.0,0.0,0,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#32,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#38,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#39,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::computeDistance(const Json::ValueIteratorBase::SelfType & other)#47,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
