lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
"bug4#build/CMakeFiles/3.10.2/CompilerIdCXX/CMakeCXXCompilerId.cpp#main(int argc, char ** argv)#553",0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug4#build/CMakeFiles/3.10.2/CompilerIdCXX/CMakeCXXCompilerId.cpp#main(int argc, char ** argv)#555",0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug4#build/CMakeFiles/3.10.2/CompilerIdCXX/CMakeCXXCompilerId.cpp#main(int argc, char ** argv)#556",0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug4#build/CMakeFiles/3.10.2/CompilerIdCXX/CMakeCXXCompilerId.cpp#main(int argc, char ** argv)#557",0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug4#build/CMakeFiles/3.10.2/CompilerIdCXX/CMakeCXXCompilerId.cpp#main(int argc, char ** argv)#559",0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug4#build/CMakeFiles/3.10.2/CompilerIdCXX/CMakeCXXCompilerId.cpp#main(int argc, char ** argv)#573",0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug4#build/CMakeFiles/3.10.2/CompilerIdCXX/CMakeCXXCompilerId.cpp#main(int argc, char ** argv)#575",0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug4#build/CMakeFiles/3.10.2/CompilerIdCXX/CMakeCXXCompilerId.cpp#main(int argc, char ** argv)#576",0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
