lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug1#include/json/value.h#FUNCTIONNOTFOUND#83,0,0,123,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
bug1#include/json/value.h#FUNCTIONNOTFOUND#94,0,0,123,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
bug1#include/json/value.h#StaticString::StaticString(const char * czstring)#149,2,0,121,3,0,0.0,0.0,-1,-0.016129032258064516,0.0,0.0,0,0
bug1#include/json/value.h#StaticString::c_str()#153,2,0,121,3,0,0.0,0.0,-1,-0.016129032258064516,0.0,0.0,0,0
bug1#include/json/value.h#Value::setType(enum Json::ValueType v)#594,123,3,0,0,1,3.0120481927710845,0.023809523809523808,0,2.008064516129032,0.1543033499620919,0.023809523809523808,3,0
bug1#include/json/value.h#Value::setType(enum Json::ValueType v)#595,123,3,0,0,1,3.0120481927710845,0.023809523809523808,0,2.008064516129032,0.1543033499620919,0.023809523809523808,3,0
bug1#include/json/value.h#Value::setType(enum Json::ValueType v)#596,123,3,0,0,1,3.0120481927710845,0.023809523809523808,0,2.008064516129032,0.1543033499620919,0.023809523809523808,3,0
bug1#include/json/value.h#Value::isAllocated()#597,123,3,0,0,1,3.0120481927710845,0.023809523809523808,0,2.008064516129032,0.1543033499620919,0.023809523809523808,3,0
bug1#include/json/value.h#Value::setIsAllocated(_Bool v)#598,123,3,0,0,1,3.0120481927710845,0.023809523809523808,0,2.008064516129032,0.1543033499620919,0.023809523809523808,3,0
bug1#include/json/value.h#FUNCTIONNOTFOUND#633,123,3,0,0,1,3.0120481927710845,0.023809523809523808,0,2.008064516129032,0.1543033499620919,0.023809523809523808,3,0
bug1#include/json/value.h#Comments::Comments()#635,123,3,0,0,1,3.0120481927710845,0.023809523809523808,0,2.008064516129032,0.1543033499620919,0.023809523809523808,3,0
bug1#include/json/value.h#Value::as()#656,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#include/json/value.h#Value::is()#657,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#include/json/value.h#Value::as()#659,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#include/json/value.h#Value::is()#660,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#include/json/value.h#Value::as()#662,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#include/json/value.h#Value::is()#663,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#include/json/value.h#Value::as()#666,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#include/json/value.h#Value::is()#667,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#include/json/value.h#Value::as()#669,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
bug1#include/json/value.h#Value::is()#670,1,0,122,3,0,0.0,0.0,-1,-0.008064516129032258,0.0,0.0,0,0
