lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug4#include/json/reader.h#FUNCTIONNOTFOUND#37,61,3,61,0,1,3.024,0.046875,61,2.5040650406504064,0.21650635094610968,0.024,3,0
bug4#include/json/reader.h#FUNCTIONNOTFOUND#47,8,0,114,3,0,0.0,0.0,-1,-0.06504065040650407,0.0,0.0,0,0
bug4#include/json/reader.h#FUNCTIONNOTFOUND#183,9,0,113,3,0,0.0,0.0,-1,-0.07317073170731707,0.0,0.0,0,0
bug4#include/json/reader.h#FUNCTIONNOTFOUND#245,30,3,92,0,1,3.0476190476190474,0.09090909090909091,92,2.7560975609756095,0.30151134457776363,0.024,3,0
bug4#include/json/reader.h#CharReader::~CharReader()#247,30,3,92,0,1,3.0476190476190474,0.09090909090909091,92,2.7560975609756095,0.30151134457776363,0.024,3,0
bug4#include/json/reader.h#FUNCTIONNOTFOUND#267,32,3,90,0,1,3.044776119402985,0.08571428571428572,90,2.7398373983739837,0.29277002188455997,0.024,3,0
bug4#include/json/reader.h#Factory::~Factory()#269,32,3,90,0,1,3.044776119402985,0.08571428571428572,90,2.7398373983739837,0.29277002188455997,0.024,3,0
