lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug2#include/json/reader.h#FUNCTIONNOTFOUND#37,63,3,61,0,1,3.0232558139534884,0.045454545454545456,61,2.496,0.21320071635561044,0.023622047244094488,3,0
bug2#include/json/reader.h#FUNCTIONNOTFOUND#47,8,0,116,3,0,0.0,0.0,-1,-0.064,0.0,0.0,0,0
bug2#include/json/reader.h#FUNCTIONNOTFOUND#183,9,0,115,3,0,0.0,0.0,-1,-0.072,0.0,0.0,0,0
bug2#include/json/reader.h#FUNCTIONNOTFOUND#245,35,0,89,3,0,0.0,0.0,-1,-0.28,0.0,0.0,0,0
bug2#include/json/reader.h#CharReader::~CharReader()#247,35,0,89,3,0,0.0,0.0,-1,-0.28,0.0,0.0,0,0
bug2#include/json/reader.h#FUNCTIONNOTFOUND#267,37,0,87,3,0,0.0,0.0,-1,-0.296,0.0,0.0,0,0
bug2#include/json/reader.h#Factory::~Factory()#269,37,0,87,3,0,0.0,0.0,-1,-0.296,0.0,0.0,0,0
