lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::index()#77,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::index()#78,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::index()#79,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::index()#80,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::index()#81,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::index()#82,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::name()#84,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::name()#85,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::name()#86,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::name()#87,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::name()#88,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::name()#89,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::name()#90,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::name()#91,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName()#93,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName()#94,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName()#95,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName()#96,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName(const char ** end)#98,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName(const char ** end)#99,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName(const char ** end)#100,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName(const char ** end)#101,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName(const char ** end)#102,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName(const char ** end)#104,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName(const char ** end)#105,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIteratorBase::memberName(const char ** end)#106,2,0,122,3,0,0.0,0.0,-1,-0.016,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueConstIterator::ValueConstIterator()#116,4,0,120,3,0,0.0,0.0,-1,-0.032,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueConstIterator::ValueConstIterator(const class Value::ObjectValues::iterator & current)#118,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueConstIterator::ValueConstIterator(const class Value::ObjectValues::iterator & current)#120,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueConstIterator::ValueConstIterator(const class Json::ValueIterator & other)#122,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueConstIterator::ValueConstIterator(const class Json::ValueIterator & other)#123,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueConstIterator::operator=(const class Json::ValueIteratorBase & other)#126,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueConstIterator::operator=(const class Json::ValueIteratorBase & other)#127,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueConstIterator::operator=(const class Json::ValueIteratorBase & other)#128,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator()#139,4,0,120,3,0,0.0,0.0,-1,-0.032,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator(const class Value::ObjectValues::iterator & current)#141,11,0,113,3,0,0.0,0.0,-1,-0.088,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator(const class Value::ObjectValues::iterator & current)#142,11,0,113,3,0,0.0,0.0,-1,-0.088,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator(const class Json::ValueConstIterator & other)#144,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator(const class Json::ValueConstIterator & other)#145,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator(const class Json::ValueConstIterator & other)#146,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator(const class Json::ValueConstIterator & other)#147,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator(const class Json::ValueIterator & other)#149,5,0,119,3,0,0.0,0.0,-1,-0.04,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::operator=(const Json::ValueIterator::SelfType & other)#151,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::operator=(const Json::ValueIterator::SelfType & other)#152,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_valueiterator.inl#ValueIterator::operator=(const Json::ValueIterator::SelfType & other)#153,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
