key,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug,Rank
bug3#src/test_lib_json/main.cpp#TestCharReaderTestossFuzz_21916_3::runTestCase(),0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
"bug3#src/lib_json/json_reader.cpp#OurReader::addErrorAndRecover(const Json::String & message, class Json::OurReader::Token & token, enum Json::OurReader::TokenType skipUntilToken)",0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
bug3#src/lib_json/json_value.cpp#cloneUnique(const std::unique_ptr<T> & p),0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
"bug3#src/lib_json/json_reader.cpp#OurReader::addComment(Json::OurReader::Location begin, Json::OurReader::Location end, enum Json::CommentPlacement placement)",0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
"bug3#src/lib_json/json_reader.cpp#OurReader::normalizeEOL(class OurReader::Location begin, class OurReader::Location end)",0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
bug3#src/lib_json/json_reader.cpp#OurReader::readComment(),0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
bug3#src/lib_json/json_reader.cpp#OurReader::readCppStyleComment(),0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
bug3#src/lib_json/json_reader.cpp#OurReader::recoverFromError(enum Json::OurReader::TokenType skipUntilToken),0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
bug3#src/lib_json/json_reader.cpp#CharReaderBuilder::strictMode(Json::Value * settings),0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
"bug3#src/lib_json/json_reader.cpp#OurReader::containsNewLine(class OurReader::Location begin, class OurReader::Location end)",0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestossFuzz_21916_2::runTestCase(),0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestossFuzz_21916_1::runTestCase(),0,1,93,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.010416666666666666,1,0,45.0
"bug3#src/lib_json/json_value.cpp#Value::setComment(Json::String comment, enum Json::CommentPlacement placement)",1,1,92,2,0,1.3333333333333333,0.25,-1,0.9893617021276596,0.4082482904638631,0.010416666666666666,1,0,47.0
bug3#src/lib_json/json_value.cpp#Value::isMember(const Json::String & key),1,1,92,2,0,1.3333333333333333,0.25,-1,0.9893617021276596,0.4082482904638631,0.010416666666666666,1,0,47.0
"bug3#src/lib_json/json_value.cpp#Value::isMember(const char * begin, const char * end)",2,1,91,2,0,1.2,0.2,-1,0.9787234042553192,0.3333333333333333,0.010416666666666666,1,0,49.0
