key,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug,Rank
bug4#src/test_lib_json/main.cpp#FUNCTIONNOTFOUND,45,3,77,0,1,3.032258064516129,0.0625,77,2.6341463414634148,0.25,0.024,3,0,33.0
bug4#src/lib_json/json_value.cpp#Value::setOffsetLimit(ptrdiff_t limit),48,3,74,0,1,3.0303030303030303,0.05882352941176471,74,2.609756097560976,0.24253562503633302,0.024,3,0,35.0
bug4#src/lib_json/json_value.cpp#Value::setOffsetStart(ptrdiff_t start),48,3,74,0,1,3.0303030303030303,0.05882352941176471,74,2.609756097560976,0.24253562503633302,0.024,3,0,35.0
bug4#src/lib_json/json_value.cpp#Value::asBool(),51,3,71,0,1,3.0285714285714285,0.05555555555555555,71,2.5853658536585367,0.23570226039551584,0.024,3,0,36.0
bug4#src/lib_json/json_value.cpp#CZString::operator==(const class Json::Value::CZString & other),52,3,70,0,1,3.02803738317757,0.054545454545454536,70,2.5772357723577235,0.2335496832484569,0.024,3,0,37.0
"bug4#src/lib_json/json_reader.cpp#OurReader::decodeString(class Json::OurReader::Token & token, Json::String & decoded)",23,2,99,1,0,2.0416666666666665,0.07692307692307693,-1,1.8130081300813008,0.2309401076758503,0.016,2,0,38.0
bug4#src/lib_json/json_reader.cpp#OurReader::readString(),24,2,98,1,0,2.04,0.07407407407407407,-1,1.804878048780488,0.22645540682891915,0.016,2,0,39.0
"bug4#src/lib_json/json_value.cpp#Value::find(const char * begin, const char * end)",57,3,65,0,1,3.025641025641025,0.05,65,2.5365853658536586,0.22360679774997896,0.024,3,0,40.0
bug4#src/lib_json/json_reader.cpp#Features::Features(),61,3,61,0,1,3.0239999999999996,0.046875,61,2.5040650406504064,0.21650635094610968,0.024,3,0,45.0
bug4#src/lib_json/json_reader.cpp#Reader::Reader(),61,3,61,0,1,3.0239999999999996,0.046875,61,2.5040650406504064,0.21650635094610968,0.024,3,0,45.0
bug4#src/lib_json/json_reader.cpp#Reader::readToken(class Json::Reader::Token & token),61,3,61,0,1,3.0239999999999996,0.046875,61,2.5040650406504064,0.21650635094610968,0.024,3,0,45.0
bug4#src/lib_json/json_reader.cpp#Reader::skipCommentTokens(class Json::Reader::Token & token),61,3,61,0,1,3.0239999999999996,0.046875,61,2.5040650406504064,0.21650635094610968,0.024,3,0,45.0
bug4#src/lib_json/json_reader.cpp#Features::all(),61,3,61,0,1,3.0239999999999996,0.046875,61,2.5040650406504064,0.21650635094610968,0.024,3,0,45.0
bug4#src/lib_json/json_value.cpp#CZString::operator<(const class Json::Value::CZString & other),66,3,56,0,1,3.0222222222222217,0.043478260869565216,56,2.463414634146341,0.20851441405707474,0.024,3,0,46.0
bug4#src/lib_json/json_value.cpp#Value::operator[](const Json::String & key),38,2,84,1,0,2.025641025641025,0.04878048780487805,-1,1.6910569105691056,0.18257418583505536,0.016,2,0,47.0
bug4#src/test_lib_json/jsontest.cpp#Runner::runAllTest(_Bool printSummary),119,3,3,0,1,3.012448132780083,0.024590163934426233,3,2.032520325203252,0.15681251204679503,0.024,3,0,48.0
"bug4#src/test_lib_json/jsontest.cpp#Runner::testIndex(const Json::String & testName, size_t & indexOut)",121,3,1,0,1,3.0122448979591834,0.024193548387096774,1,2.016260162601626,0.1555427542095638,0.024,3,0,49.0
